,chemical,name,description,coordinates,flight,lon,lat,alt
0,"1,1,1,2-TETRAFLUOROETHANE",TAR_Long View_200618_191334_v1s,,"(-122.188079, 37.7852, 0.0)",Flight 200618a,-122.188079,37.7852,0.0
1,"1,1-DIFLUOROETHANE",TAR_Long View_200618_191334_v1s,,"(-122.178125, 37.79647, 0.0)",Flight 200618a,-122.178125,37.79647,0.0
2,AMMONIA,TAR_Long View_200618_180727_v1s,,"(-122.219799, 38.087409, 0.0)",Flight 200618a,-122.219799,38.087409,0.0
3,AMMONIA,TAR_Long View_200618_181921_v1s,,"(-122.400814, 37.949141, 0.0)",Flight 200618a,-122.400814,37.949141,0.0
4,AMMONIA,TAR_Long View_200618_183426_v1s,,"(-122.391668, 37.787369, 0.0)",Flight 200618a,-122.391668,37.787369,0.0
5,AMMONIA,TAR_Long View_200618_184642_v1s,,"(-122.294862, 37.826193, 0.0)",Flight 200618a,-122.294862,37.826193,0.0
6,AMMONIA,TAR_Long View_200618_185931_v1s,,"(-122.340814, 37.921145, 0.0)",Flight 200618a,-122.340814,37.921145,0.0
7,AMMONIA,TAR_Long View_200618_191334_v1s,,"(-122.168532, 37.801649, 0.0)",Flight 200618a,-122.168532,37.801649,0.0
8,CARBON DIOXIDE,TAR_Long View_200618_181921_v1s,,"(-122.405472, 37.951955, 0.0)",Flight 200618a,-122.405472,37.951955,0.0
9,CARBON DIOXIDE,TAR_Long View_200618_184642_v1s,,"(-122.296311, 37.826129, 0.0)",Flight 200618a,-122.296311,37.826129,0.0
10,CHLORODIFLUOROMETHANE,TAR_Long View_200618_180727_v1s,,"(-122.231748, 38.083159, 0.0)",Flight 200618a,-122.231748,38.083159,0.0
11,CHLORODIFLUOROMETHANE,TAR_Long View_200618_184642_v1s,,"(-122.242669, 37.763688, 0.0)",Flight 200618a,-122.242669,37.763688,0.0
12,DICHLORODIFLUOROMETHANE,TAR_Long View_200618_184642_v1s,,"(-122.266874, 37.768527, 0.0)",Flight 200618a,-122.266874,37.768527,0.0
13,DIFLUOROMETHANE,TAR_Long View_200618_183426_v1s,,"(-122.388014, 37.759994, 0.0)",Flight 200618a,-122.388014,37.759994,0.0
14,DIFLUOROMETHANE,TAR_Long View_200618_191334_v1s,,"(-122.190851, 37.753028, 0.0)",Flight 200618a,-122.190851,37.753028,0.0
15,ETHANOL,TAR_Long View_200618_184642_v1s,,"(-122.24082, 37.781085, 0.0)",Flight 200618a,-122.24082,37.781085,0.0
16,ETHENE,TAR_Long View_200618_185931_v1s,,"(-122.299771, 37.880367, 0.0)",Flight 200618a,-122.299771,37.880367,0.0
17,ISOBUTANE,TAR_Long View_200618_181921_v1s,,"(-122.399761, 37.953511, 0.0)",Flight 200618a,-122.399761,37.953511,0.0
18,M-XYLENE,TAR_Long View_200618_180727_v1s,,"(-122.263797, 38.09101, 0.0)",Flight 200618a,-122.263797,38.09101,0.0
19,METHANE,TAR_Long View_200618_181921_v1s,,"(-122.399761, 37.953511, 0.0)",Flight 200618a,-122.399761,37.953511,0.0
